"","pm25_0","sel","sel0.01","sel0.05","sel0.10","sel0.20","sel0.50","sel1.00","sel5.00","sel10.0","sel20.0"
"4631",2.1,2.1843204498291,2.06698298454285,2.10057735443115,1.91934847831726,2.25615739822388,1.82318258285522,3.06832361221313,3.53287601470947,4.75965309143066,4.6595892906189
"4632",2.2,2.37080192565918,2.47674751281738,2.40271687507629,2.18230319023132,2.35852551460266,2.43065118789673,3.18854379653931,3.77750897407532,3.73053026199341,2.65094900131226
"4633",2.5,2.4109845161438,2.50096368789673,2.44114017486572,2.2107048034668,2.38886284828186,2.40470814704895,3.12716197967529,3.71366167068481,3.64909911155701,2.58667659759521
"4634",2.6,2.54094219207764,2.58435392379761,2.53591752052307,2.33686375617981,2.44266271591187,2.08222699165344,2.47261953353882,2.85185360908508,2.44705867767334,1.36469340324402
"4635",2.6,2.5802013874054,2.62654805183411,2.57860493659973,2.3857479095459,2.48774480819702,2.14794659614563,2.48698353767395,2.87727475166321,2.35078358650208,1.20835328102112
"4636",2.9,2.57858324050903,2.64666867256165,2.58740592002869,2.38388252258301,2.51255989074707,2.33548545837402,2.73112607002258,3.24943733215332,2.53982496261597,1.2755628824234
"4637",3.3,2.87857818603516,2.93962264060974,2.88644599914551,2.69181776046753,2.83894062042236,2.66374397277832,3.03946304321289,3.55425500869751,2.71326351165771,1.41036069393158
"4638",3.1,3.17900562286377,3.23498463630676,3.19861650466919,3.03841185569763,3.13038444519043,2.82492399215698,2.95717000961304,3.23739075660706,2.1558666229248,0.755000948905945
"4639",2.9,2.87767314910889,2.95924663543701,2.89865303039551,2.79116749763489,2.85563659667969,2.54252576828003,2.56768894195557,2.72666025161743,1.48211193084717,-0.0673322677612305
"4640",2.5,2.69344615936279,2.78638601303101,2.72224712371826,2.60009813308716,2.7004816532135,2.52917432785034,2.67731022834778,2.95765542984009,1.59407615661621,-0.00763130187988281
"4641",1.8,2.28677940368652,2.44248414039612,2.35745143890381,2.28375840187073,2.34676694869995,2.20046949386597,2.32849502563477,2.38268184661865,0.86911416053772,-0.9103844165802
"4642",1.6,1.62116074562073,1.83477473258972,1.71176397800446,1.69834733009338,1.74372529983521,1.62083220481873,1.84552073478699,1.76736998558044,0.192023038864136,-1.71559929847717
"4643",1.6,1.59516501426697,1.84670090675354,1.71805799007416,1.72508311271667,1.74973952770233,1.65210676193237,1.9466005563736,1.65976059436798,-0.0172152519226074,-2.01558184623718
"4644",1.6,1.63676822185516,1.91370689868927,1.79632794857025,1.8116021156311,1.84015035629272,1.72262024879456,2.04853105545044,1.63970541954041,-0.102519035339355,-2.14423489570618
"4645",2.2,1.63871228694916,1.89225292205811,1.80273127555847,1.791090965271,1.83787536621094,1.6867687702179,2.07557654380798,1.6659882068634,0.0230627059936523,-1.89039063453674
"4646",2.5,2.25787901878357,2.40772008895874,2.38388991355896,2.26196312904358,2.36815571784973,2.1848304271698,2.56764364242554,2.3643810749054,0.926619291305542,-0.632091760635376
"4647",2.5,2.44951176643372,2.53181266784668,2.55317330360413,2.37962913513184,2.51688432693481,2.25240898132324,2.62191152572632,2.54796743392944,1.37686228752136,0.151923656463623
"4648",2.7,2.40122056007385,2.43669128417969,2.46940445899963,2.27734327316284,2.41358232498169,2.04981279373169,2.41956901550293,2.39842987060547,1.52746152877808,0.624287128448486
"4649",2.7,2.64184665679932,2.64904165267944,2.6965970993042,2.47773718833923,2.61335849761963,2.1686840057373,2.51432847976685,2.47691035270691,1.81976497173309,1.19630086421967
"4650",2.8,2.65992522239685,2.6849627494812,2.71767997741699,2.42359161376953,2.61617088317871,2.27601528167725,2.73012065887451,2.9680392742157,2.70942783355713,2.4450511932373
"4651",2.8,3.04743051528931,3.12988758087158,3.13532614707947,2.78850030899048,3.05304765701294,2.93696308135986,3.63082146644592,3.96461248397827,4.09156513214111,4.01468706130981
"4652",2.9,2.74697256088257,2.86418056488037,2.7761812210083,2.60591459274292,2.6683464050293,2.51119565963745,2.92803907394409,3.45843744277954,2.80272102355957,1.84388160705566
"4653",3,3.19008636474609,3.38732695579529,3.25130367279053,3.13128709793091,3.22234702110291,3.5247642993927,4.34843730926514,5.02563762664795,4.68597030639648,3.52486848831177
"4654",3,3.0999870300293,3.02240419387817,3.03375101089478,2.91340494155884,3.09247446060181,2.60426902770996,3.53199243545532,4.09526538848877,5.10118675231934,5.01066398620605
"4655",2.6,3.11301898956299,2.99027442932129,3.03261280059814,2.91616535186768,3.10925054550171,2.52989339828491,3.52685499191284,4.12538146972656,5.39252758026123,5.4183349609375
"4656",2.3,2.59264397621155,2.4726881980896,2.51760244369507,2.3832483291626,2.58586287498474,1.99327707290649,2.98816323280334,3.59201073646545,4.83817958831787,4.81622982025146
"4657",2.4,2.44202637672424,2.31344795227051,2.34123229980469,2.24812388420105,2.48417377471924,1.91998672485352,3.02533793449402,3.63352060317993,4.95725870132446,4.88823699951172
"4658",2.6,2.54772329330444,2.67053842544556,2.58255577087402,2.41417169570923,2.51818704605103,2.48215341567993,3.05582523345947,3.67362499237061,3.42244911193848,2.29398584365845
"4659",2.8,2.65592527389526,2.75124049186707,2.66174411773682,2.50697445869446,2.59149074554443,2.37702178955078,2.75397753715515,3.36163902282715,2.84817385673523,1.68244087696075
"4660",2.7,2.78481507301331,2.8609721660614,2.77832508087158,2.63827896118164,2.70537185668945,2.40916538238525,2.64218878746033,3.20476627349854,2.47053647041321,1.21575999259949
"4661",2.6,2.59635305404663,2.66511869430542,2.58858180046082,2.4663290977478,2.52677726745605,2.19367933273315,2.36323046684265,2.89538025856018,2.06925415992737,0.738393545150757
"4662",3,2.60484528541565,2.74349927902222,2.66050839424133,2.49145746231079,2.64845132827759,2.73187112808228,3.25670504570007,3.91365385055542,2.95852327346802,1.47457432746887
"4663",3.2,3.00520062446594,3.12193703651428,3.05320930480957,2.89166903495789,3.04756212234497,3.03085851669312,3.4179368019104,4.01295185089111,2.88682126998901,1.37302482128143
"4664",3.7,3.30266571044922,3.49145698547363,3.41914224624634,3.21850204467773,3.40632343292236,3.75094890594482,4.32472229003906,4.94703006744385,3.65684175491333,1.96340608596802
"4665",4.1,3.81591081619263,3.94536018371582,3.90062260627747,3.70826053619385,3.9184091091156,4.1428804397583,4.68935966491699,5.25789833068848,4.03791856765747,2.49504971504211
"4666",3.6,4.00926065444946,4.11815738677979,4.10364723205566,3.90086579322815,4.06423664093018,4.15929698944092,4.42417335510254,4.87072467803955,3.4105806350708,1.84272611141205
"4667",3.3,3.20832586288452,3.2779552936554,3.25614976882935,3.17761039733887,3.20018029212952,2.90297317504883,2.71840500831604,2.88377523422241,1.46436178684235,-0.12899923324585
"4668",3.3,2.97765302658081,3.06365156173706,3.01894450187683,2.97402477264404,2.97565174102783,2.6604962348938,2.49825716018677,2.51540565490723,1.07989954948425,-0.551653623580933
"4669",3.1,3.04298067092896,3.18040800094604,3.13601779937744,3.17519307136536,3.10815262794495,2.63947701454163,2.44280624389648,1.93279123306274,0.432820320129395,-1.3328263759613
"4670",3,2.85106658935547,2.95490050315857,2.9223256111145,2.89127445220947,2.85996747016907,2.36768817901611,2.3209433555603,1.96839463710785,0.756576657295227,-0.610749006271362
"4671",3.1,2.8280656337738,2.89586067199707,2.8612368106842,2.81593012809753,2.79069948196411,2.20479917526245,2.21286010742188,1.86696708202362,0.861898183822632,-0.25430703163147
"4672",2.8,2.96987628936768,3.01535034179688,2.99822688102722,2.96748208999634,2.93217992782593,2.20056390762329,2.24330520629883,1.81393373012543,0.927798628807068,-0.0328094959259033
"4673",2.5,2.61977028846741,2.65213918685913,2.63473534584045,2.50739240646362,2.54223227500916,1.88851749897003,2.06910538673401,1.99040985107422,1.49407243728638,0.98052966594696
"4674",2.6,2.45226669311523,2.51283764839172,2.46262860298157,2.2565906047821,2.37466192245483,1.90247571468353,2.29447197914124,2.61814093589783,2.53635883331299,2.33339095115662
"4675",2.6,2.71807909011841,2.80830907821655,2.7565655708313,2.5164008140564,2.67965221405029,2.29420709609985,2.76750445365906,3.13105821609497,3.14107203483582,3.03764677047729
"4676",2.5,2.51648759841919,2.65037941932678,2.52254390716553,2.44422817230225,2.4355194568634,2.09041833877563,2.26717305183411,2.81130886077881,1.98408186435699,0.99027955532074
"4677",2.5,2.38724756240845,2.4993724822998,2.37808275222778,2.32449150085449,2.29508900642395,1.8531129360199,1.96212995052338,2.40923571586609,1.54669094085693,0.475369453430176
"4678",2.5,2.39500427246094,2.49290084838867,2.37758135795593,2.35216593742371,2.28990530967712,1.72733020782471,1.74463033676147,2.05823802947998,1.22011804580688,0.0398070812225342
"4679",2.5,2.4907341003418,2.59558987617493,2.49070692062378,2.40024590492249,2.42473697662354,2.11541128158569,2.45123481750488,3.13917636871338,2.70241689682007,1.7134165763855
"4680",2.6,2.72187304496765,2.84826326370239,2.71878671646118,2.67367696762085,2.74493265151978,2.68753838539124,3.35791158676147,4.09905290603638,3.92913460731506,2.93992447853088
"4681",2.8,3.04361820220947,3.08257865905762,2.97105360031128,2.96001267433167,3.04438900947571,2.97131395339966,3.85557699203491,4.59669494628906,4.78795623779297,3.92354321479797
"4682",2.7,3.0510573387146,3.14890432357788,3.03119993209839,2.99146223068237,3.05751848220825,2.90792036056519,3.4991500377655,4.25759792327881,4.1085786819458,3.11652994155884
"4683",2.9,2.59254455566406,2.59790110588074,2.54574751853943,2.47965097427368,2.54406380653381,1.97166013717651,2.36177325248718,3.01130986213684,2.96103000640869,2.18649888038635
"4684",3.1,2.87854790687561,2.86219906806946,2.82340383529663,2.75669455528259,2.84762811660767,2.25715947151184,2.75022006034851,3.39594483375549,3.58918333053589,2.93389129638672
"4685",3,3.23785638809204,3.25285887718201,3.186518907547,3.13228368759155,3.23474740982056,2.76497030258179,3.26586818695068,3.97425842285156,4.18471574783325,3.485600233078
"4686",2.5,2.78170585632324,2.76209211349487,2.72050356864929,2.69946002960205,2.75777530670166,2.05815362930298,2.24970936775208,2.80502533912659,2.48221850395203,1.55915212631226
"4687",2.3,2.37056732177734,2.42353487014771,2.34339904785156,2.28377962112427,2.42110824584961,2.0798282623291,2.52540063858032,3.2816424369812,2.9537398815155,1.92971169948578
"4688",2.6,2.54242324829102,2.61672782897949,2.49819016456604,2.44549822807312,2.62852740287781,2.62807083129883,3.42418479919434,4.15525960922241,3.84180641174316,2.62972950935364
"4689",2.7,2.60493087768555,2.7528133392334,2.65297937393188,2.54795098304749,2.6776819229126,2.58055114746094,2.89874696731567,3.58430337905884,2.53242635726929,1.01274693012238
"4690",2.4,2.52690887451172,2.63392925262451,2.55355453491211,2.51068639755249,2.53404712677002,2.12803649902344,2.05742764472961,2.46919202804565,1.26862859725952,-0.348685503005981
"4691",2.4,2.18534231185913,2.29977822303772,2.22563433647156,2.14779925346375,2.21850633621216,1.96671521663666,2.08950114250183,2.64961957931519,1.46039068698883,-0.117018461227417
"4692",2.4,2.20035862922668,2.32046747207642,2.26707482337952,2.23089289665222,2.24803137779236,1.91311371326447,1.98797833919525,2.23481726646423,0.961103200912476,-0.722383260726929
"4693",2.5,2.18313932418823,2.32029342651367,2.28046035766602,2.28512692451477,2.2710268497467,1.85174238681793,1.92202496528625,1.90945780277252,0.62161648273468,-1.08649325370789
"4694",2.5,2.31972432136536,2.43547391891479,2.41064238548279,2.40428638458252,2.38105297088623,1.88911545276642,2.00103569030762,1.89643025398254,0.74417781829834,-0.772846460342407
"4695",2.2,2.33019232749939,2.44369864463806,2.43115329742432,2.4407639503479,2.39527440071106,1.82200360298157,1.95865309238434,1.69560480117798,0.604924559593201,-0.809236288070679
"4696",2.3,1.99971699714661,2.07396960258484,2.05101752281189,1.95158779621124,1.98798048496246,1.44460797309875,1.76016533374786,1.92000389099121,1.3646035194397,0.532822728157043
"4697",2.3,2.21694779396057,2.29313158988953,2.2511739730835,2.11485743522644,2.17241334915161,1.61116814613342,1.94526171684265,2.19444227218628,1.81686413288116,1.23593652248383
"4698",2.4,2.45320987701416,2.61550712585449,2.54098701477051,2.32688331604004,2.45850086212158,2.17177391052246,2.70957326889038,3.22741937637329,3.25711917877197,2.95855188369751
"4699",2.4,3.01727342605591,3.16038870811462,3.05905485153198,2.89936828613281,3.00675535202026,2.85856533050537,3.62738084793091,4.19687509536743,4.48235988616943,4.29052066802979
"4700",2.4,2.38123202323914,2.53512930870056,2.41263246536255,2.35622549057007,2.29775762557983,2.01125121116638,2.24855637550354,2.95045590400696,2.30416202545166,1.29426217079163
"4701",2.3,2.408043384552,2.5605297088623,2.44591045379639,2.38587093353271,2.34215497970581,2.10241007804871,2.43427085876465,3.18532037734985,2.72133135795593,1.72424113750458
"4702",2.5,2.56273913383484,2.48141098022461,2.48823404312134,2.52913093566895,2.62112188339233,2.01278424263,3.05237650871277,3.75862836837769,4.91305541992188,4.87905883789062
"4703",3.2,2.90791392326355,2.84512543678284,2.85609936714172,2.86368227005005,2.92525720596313,2.43116974830627,3.45287728309631,4.25522756576538,5.44420957565308,5.28381204605103
"4704",2.9,3.63835477828979,3.7888777256012,3.67350292205811,3.64574718475342,3.57297730445862,3.50618624687195,4.15596199035645,4.99888849258423,5.1805362701416,4.21788120269775
"4705",3.1,3.02073359489441,3.16702270507812,3.08109498023987,3.01281070709229,2.96739149093628,2.86504364013672,3.40008997917175,4.24996089935303,4.36268711090088,3.4422459602356
"4706",3.3,3.00641250610352,3.0617516040802,3.02427911758423,2.91892051696777,2.84180927276611,2.33635854721069,2.50761723518372,3.15908527374268,2.97496032714844,2.02380013465881
"4707",3.8,3.14854645729065,3.20586323738098,3.18342351913452,3.0772876739502,2.99688816070557,2.45861530303955,2.53405165672302,3.1147985458374,2.7995617389679,1.78865897655487
"4708",4,3.83383798599243,3.97223234176636,3.91643166542053,3.80027794837952,3.7795717716217,3.5599627494812,3.81219291687012,4.55040645599365,4.11756801605225,3.02924847602844
"4709",3.9,3.9279637336731,4.04845190048218,4.01472091674805,3.88505244255066,3.88178849220276,3.68166851997375,3.87783622741699,4.5655689239502,3.9425745010376,2.8231635093689
"4710",4.2,3.72838687896729,3.85487389564514,3.83190608024597,3.69075036048889,3.7137234210968,3.57960438728333,3.82802200317383,4.51451873779297,3.77443027496338,2.58931422233582
"4711",4.1,3.92910766601562,3.99931645393372,3.99613356590271,3.89525961875916,3.85863423347473,3.50856256484985,3.35252046585083,3.86758327484131,2.77894735336304,1.41968524456024
"4712",3.4,3.67512941360474,3.76675510406494,3.7668149471283,3.73341035842896,3.62658643722534,3.19286370277405,2.78677082061768,2.963219165802,1.5935093164444,-0.0271909236907959
"4713",3.4,2.9072527885437,3.06985402107239,3.0366518497467,3.06772089004517,2.93177270889282,2.57600331306458,2.21872758865356,2.20319628715515,0.67827320098877,-1.18573093414307
"4714",3.1,3.0411958694458,3.23918199539185,3.1968412399292,3.25156116485596,3.10972666740417,2.81277990341187,2.46857857704163,2.31092834472656,0.570717334747314,-1.45749044418335
"4715",3,2.70592904090881,3.00213050842285,2.94971990585327,3.05299544334412,2.88362193107605,2.64084577560425,2.33636331558228,1.91537499427795,0.00942182540893555,-2.24289059638977
"4716",3.1,2.68212890625,3.00059032440186,2.94141387939453,3.07526850700378,2.88257741928101,2.62557744979858,2.34939289093018,1.75731861591339,-0.195603609085083,-2.53672909736633
"4717",3.2,2.84322452545166,3.17210006713867,3.13833975791931,3.26212191581726,3.06312417984009,2.81337261199951,2.58656454086304,1.844855427742,-0.125792980194092,-2.46126866340637
"4718",4.1,2.89590859413147,3.1349663734436,3.14751815795898,3.17866563796997,3.04689788818359,2.78940629959106,2.67132091522217,2.26380753517151,0.499754905700684,-1.42682337760925
"4719",4.3,3.89155340194702,4.00443410873413,4.06912708282471,3.988853931427,3.91412138938904,3.57404685020447,3.40359258651733,3.23931074142456,1.71604990959167,0.283437490463257
"4720",4.5,3.93545627593994,4.03578329086304,4.11956882476807,4.03350305557251,3.94979524612427,3.52108812332153,3.28960371017456,3.0777223110199,1.69615519046783,0.485296964645386
"4721",4.5,4.14033842086792,4.19459056854248,4.27336883544922,4.14204120635986,4.08369255065918,3.60525560379028,3.38134503364563,3.38624668121338,2.27561116218567,1.44645977020264
"4722",4.9,4.15061092376709,4.23276233673096,4.29423809051514,4.09590339660645,4.08124256134033,3.67932224273682,3.54173612594604,3.74337291717529,2.85281896591187,2.33850479125977
"4723",5.6,4.80646800994873,5.02547740936279,5.03433322906494,4.73440980911255,4.79626178741455,4.65054988861084,4.80440807342529,5.10372066497803,4.50221157073975,4.22231388092041
"4724",6.1,5.35693311691284,5.62741327285767,5.58247184753418,5.41505146026611,5.33761501312256,5.46302175521851,5.58869171142578,6.13677501678467,4.83806800842285,3.6859405040741
"4725",5.5,5.85680437088013,6.09809732437134,6.05758094787598,5.89097881317139,5.77604866027832,5.7512903213501,5.83762645721436,6.4428882598877,5.68685626983643,4.79579067230225
"4726",5.5,5.20828533172607,5.23033714294434,5.28628969192505,5.17282772064209,5.15645694732666,4.61117267608643,5.17829370498657,5.80445146560669,6.62005186080933,6.75041770935059
"4727",6,5.45685529708862,5.48941421508789,5.52204322814941,5.41988945007324,5.38624048233032,4.84306907653809,5.4329891204834,6.11706256866455,7.10147142410278,7.16950798034668
"4728",6.5,5.99642324447632,6.0417914390564,6.06561374664307,5.95791006088257,5.91520214080811,5.25689649581909,5.6953763961792,6.32186126708984,7.32233095169067,7.45461940765381
"4729",6.8,6.62452840805054,6.69362211227417,6.66804027557373,6.57098245620728,6.49610710144043,5.99459838867188,6.39944267272949,7.0000057220459,7.77719879150391,7.73122501373291
"4730",6.6,6.27932739257812,6.25538301467896,6.32786560058594,6.21346282958984,6.17682838439941,5.36344146728516,5.40094661712646,5.82483196258545,6.10186672210693,6.11186790466309
